Community plan,Summary,Council person,Staff recommendation,School district representative,Proposed zoning type id,Community character policy id,Existing zoning type id,Map id,Pdf link,Request type,School district,ID,Date,Requested by,Community character policy,Parcel id,Document number,Applicant,Council district,Staff recommendation description,Project name,Number of acres,Number of units proposed,Number of units currently,Location description,Addresses
Green Hills - Midtown Community Plan,"Rezone 0.83 acres from IWD to MUL-A for mixed-use development at 909 Hawkins Street, including residential, retail, restaurant, and office uses.",O'Connell,Conditional,Buggs,"[""MUL-A""]","[""T4 MU""]","[""IWD""]","[""062""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180308sr.pdf_item_17.pdf,zone change,5,None_2018-03-08,2018-03-08,"Fulmer Engineering, applicant; Willcam Properties, LLC, owner",T4 Urban Mixed Use Neighborhood (T4 MU),"[""035""]",1878,"Fulmer Engineering, Willcam Properties, LLC",19,Approve with conditions.,,0.83,18,0,"909 Hawkins Street, approximately 365 feet west of 9th Avenue South (0.83 acres).","[""909 Hawkins Street""]"
Bordeaux-Whites Creek-Haynes Trinity Community Plan,"The proposal aims to rezone to permit a mixed-use development with residential units and commercial uses, enhancing pedestrian infrastructure along Buena Vista Pike and Cliff Drive.",Hastings,Conditional,Gentry,"[""SP-MU""]","[""T4 NC"",""T4 NE""]","[""CL"",""R8""]","[""164""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/181011sr.pdf_item_10.pdf,preliminary sp,1,0 Buena Vista Pike SP_2018-10-11,2018-10-11,"Smith Gee Studio, Silmar Holdings, LLC, Tree Mendus Development JV, and UP Development, LLC","T4 Urban Neighborhood Center (T4 NC), T4 Urban Neighborhood Evolving (T4 NE)","[""204""]",946,"Smith Gee Studio, applicant; Silmar Holdings, LLC, Tree Mendus Development JV, and UP Development, LLC, owners",2,Approve with conditions and disapprove without all conditions.,0 Buena Vista Pike SP,2.7,73,8,"Northeast corner of the intersection of Buena Vista Pike and Cliff Drive, 2.7 acres","[""2210 Buena Vista Pike"",""2216 Buena Vista Pike"",""Buena Vista Pike"",""Cliff Drive""]"
,"The request defers the decision for rezoning Knipfer Corner SP to January 16, 2020.",Hall,Defer,Gentry,"[""SP-MU""]",,"[""RS40""]","[""096""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/191212sr.pdf_item_4.pdf,preliminary sp,1,Knipfer Corner SP_2019-12-12,2019-12-12,Dale and Associates,,"[""054""]",1645,"Dale and Associates, applicant; Dorothy Knipfer, Carl Knipfer, and Lisa Armington, owners.",1,"Defer to the January 16, 2020, Planning Commission meeting.",Knipfer Corner SP,8.82,,,1860 feet northeast of Eaton’s Creek Road (8.82 acres).,"[""7330 White Creek Pike"",""7340 White Creek Pike"",""7350 White Creek Pike"",""7360 White Creek Pike"",""7368 White Creek Pike""]"
South Nashville Community Plan,Zone change from R6 to R6-A for properties located east of Charles E. Davis Boulevard.,O'Connell,Approve,Gentry,"[""R6-A""]","[""T4 Civic"",""T4 NE"",""T4 OS""]","[""R6""]","[""105-04""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180125sr.pdf_item_17.pdf,zone change,1,Zone Change 2018Z-005PR-001_2018-01-25,2018-01-25,Councilmember O'Connell,"T4 Urban Civic, T4 Urban Neighborhood Evolving, T4 Urban Open Space","[""044"",""045"",""046""]",1830,"Councilmember O'Connell, various property owners",19,"Staff recommends approval. The proposed rezoning is consistent with the T4 Urban Civic, T4 Urban Neighborhood Evolving, and T4 Urban Open Space policy areas as the R6-A zoning district will help to create walkable neighborhoods through the use of appropriate building placement and bulk standards.",Zone Change 2018Z-005PR-001,49.46,,,"east of Charles E. Davis Boulevard, north of Cannon Street, west of Meredith Avenue, along both sides of Robertson Street and both sides of Green Street","[""Charles E. Davis Boulevard""]"
DONELSON – HERMITAGE – OLD HICKORY COMMUNITY PLAN,Rezoning from RS10 to CS is inconsistent with T3 NM policy. Staff recommends disapproval.,Huezo,Disapprove,Pinkston,"[""CS""]","[""T3 NM""]","[""RS10""]","[""121""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190613sr.pdf_item_34.pdf,zone change,7,2019Z-100PR-001_2019-06-13,2019-06-13,Midsouth Carpenters Regional Council Training Trust,T3 Suburban Neighborhood Maintenance (T3 NM),"[""217"",""218"",""219"",""220""]",1418,"Midsouth Carpenters Regional Council Training Trust, applicant; Gregg and Susan Eatherly, owners",13,Staff recommends disapproval. The proposed CS zoning district is not consistent with the T3 NM land use policy.,2019Z-100PR-001,6.21,0,27,"3128 Elm Hill Pike and Elm Hill Pike (unnumbered), approximately 730 feet east of Patio Drive (6.21 acres)","[""3128 Elm Hill Pike""]"
West Nashville Community Plan,Request to amend the West Nashville Community Plan from T3 NE to T3 CM.,Roberts,Defer,Taylor,"[""T3 CM""]","[""T3 NE"",""T3 CM""]","[""T3 NE""]","[""105-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-211028sr.pdf_item_12.pdf,major plan amendment,9,West Nashville Community Plan Amendment_2021-10-28,2021-10-28,Barge Cauthen & Associates,T3 Suburban Neighborhood Evolving (T3 NE) to T3 Suburban Mixed Use Corridor (T3 CM),"[""198"",""200"",""201"",""202"",""420""]",2324,"Barge Cauthen & Associates, applicant; JJZ Realty Partnership, GP, owner",20,Staff recommends indefinite deferral.,West Nashville Community Plan Amendment,0.29,,,6111 Cowden Avenue (approximately 0.29 acres),"[""6111 Cowden Avenue""]"
Green Hills - Midtown Community Plan,Request to rezone three parcels from R6 to RM20-A to permit 12 multi-family units on 12th Avenue South.,Sledge,Conditional,Buggs,"[""RM20-A""]","[""T4 NE""]","[""R6""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180412sr.pdf_item_7.pdf,zone change,5,"1088, 1090 and 1092 12th Avenue South_2018-04-12",2018-04-12,"T and T Development, LLC and Troy Olsen",T4 Urban Neighborhood Evolving (T4 NE),,689,"T and T Development, LLC",17,Approve with conditions as request is consistent with the T4 Urban Neighborhood Evolving policy.,"1088, 1090 and 1092 12th Avenue South",0.62,12,6,"Properties located at 1088, 1090 and 1092 12th Avenue South, approximately 205 feet north of Archer Street.","[""1088 12th Avenue South"",""1090 12th Avenue South"",""1092 12th Avenue South""]"
North Nashville Community Plan,Proposal to amend the North Nashville Community Plan by changing the character policy for various properties.,Taylor,Defer,Gentry,"[""T4 CM""]","[""T4 NM"",""T4 CM""]","[""RS5""]","[""081-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220113sr.pdf_item_0.pdf,Plan Amendment,1,North Nashville Community Plan Amendment_2022-01-13,2022-01-13,"Fulmer Lucas Engineering, applicant; JFM 1705 9th Avenue North, LLC & ETAL, 9th & Goal Partners, and Jimmy Antawan Dennis & Santez Boykin, owners",Urban Neighborhood Maintenance (T4 NM) to Urban Mixed Use Corridor (T4 CM),"[""028"",""029"",""030"",""031"",""032"",""033"",""034""]",2441,"Fulmer Lucas Engineering, applicant; JFM 1705 9th Avenue North, LLC & ETAL, 9th & Goal Partners, and Jimmy Antawan Dennis & Santez Boykin, owners",21,"Staff recommends deferral to the February 10, 2022, Planning Commission meeting.",North Nashville Community Plan Amendment,0.54,0,0,"various properties located along 9th Avenue North and Buchanan Street, approximately 0.54 acres","[""9th Avenue North"",""Buchanan Street""]"
Southeast Community Plan,Request for a zone change from R10 to RS10 for properties north of Old Hickory Blvd and between Nolensville Pike and Edmondson Pike. Staff recommends disapproval as submitted but approval with a substitute.,Blalock,Disapprove,Elrod,"[""RS10""]","[""T3""]","[""R10""]","[""161-08"",""161-06"",""161-11""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190627sr.pdf_item_29.pdf,zone change,2,Zone Change 2019Z-120PR-001_2019-06-27,2019-06-27,"Councilmember Davette Blalock, various property owners",T3 NM,"[""021"",""032"",""060"",""069""]",1462,"Councilmember Davette Blalock, applicant; various property owners",27,Disapprove as submitted. Approve with a substitute.,Zone Change 2019Z-120PR-001,276.31,,,Various properties located north of Old Hickory Boulevard and between Nolensville Pike and Edmondson Pike,"[""Old Hickory Boulevard"",""Nolensville Pike"",""Edmondson Pike""]"
Green Hills – Midtown Community Plan,"Apply a Historic Landmark Overlay District to 915 Kirkwood Ave. Recognizes historical and architectural significance, preserving historical integrity.",Sledge,Approve,Player Peters,"[""HL""]","[""T4 NM""]","[""R8""]","[""103-01""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220224sr.pdf_item_20.pdf,historic landmark overlay district,7,915 Kirkwood Historic Landmark Overlay_2022-02-24,2022-02-24,"Councilmember Colby Sledge, applicant; Courtney & Christine Gasper, owner",Urban Neighborhood Maintenance,"[""036""]",2544,"Councilmember Colby Sledge, applicant; Courtney & Christine Gasper, owner",17,Staff recommends approval of the Historic Landmark Overlay District.,915 Kirkwood Historic Landmark Overlay,0.55,,6,"Southwest corner of Kirkwood Ave and Craig Ave, 0.55 acres","[""915 Kirkwood Ave"",""Kirkwood Ave"",""Craig Ave""]"
West Nashville Community Plan,Zone change from R40 to R6 for property at 1201 Watts Terrace. Area includes single-family residential and duplexes.,Roberts,Conditional,Frogge,"[""R6""]","[""T4 NE""]","[""R40""]","[""082-03""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200116sr.pdf_item_25.pdf,zone change,9,Zone Change 2020Z-015PR-001_2020-01-16,2020-01-16,"Dale and Associates, applicant; 1 Public Homes, LLC, owners.",Urban Neighborhood Evolving (T4 NE),"[""543"",""544""]",1669,"Dale and Associates, applicant; 1 Public Homes, LLC, owners.",20,Staff recommends approval with conditions. Fire apparatus access roads and hydrants must meet certain standards. A traffic study may be required.,Zone Change 2020Z-015PR-001,0.81,7,2,"property located at 1201 Watts Terrace, at the southeast corner of Watts Terrace and Watts Lane Avenue, 0.81 acres","[""1201 Watts Terrace"",""Watts Lane Avenue""]"
,"Periodic review of Olde Mill Specific Plan. Deferred to April 26, 2018, Planning Commission meeting.",Weiner; Rosenberg,Defer,Frogge,,,,"[""2006SP"",""093-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180308sr.pdf_item_0.pdf,preliminary sp,9,Olde Mill SP (Periodic Review)_2018-03-08,2018-03-08,"Councilmembers Sheri Weiner and Dave Rosenberg, applicants; Old Mill Partnership & Johnny Ray Cowden, ET AL, owners",,"[""093""]",626,"Councilmembers Sheri Weiner and Dave Rosenberg, applicants; Old Mill Partnership & Johnny Ray Cowden, ET AL, owners",22,"Staff recommends deferral to the April 26, 2018, Planning Commission meeting.",Olde Mill SP (Periodic Review),131.06,,,"8811 Newsom Station Road and 8873 Newsom Station Road, approximately 1700 feet northwest of Coley Davis Road (131.06 acres)","[""8811 Newsom Station Road"",""8873 Newsom Station Road""]"
Antioch-Priest Lake Community Plan,Rezone from Agricultural/Residential to Single-Family Residential for properties on Anderson Road and Hamilton Lane.,Lee,Approve,Bush,"[""RS7.5""]","[""T3 NM""]","[""AR2a""]","[""051-06""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/092321_Staff_Report.pdf_item_31.pdf,zone change,6,2021Z-072PR-001_2021-09-23,2021-09-23,"Sammy Said and Marian Fangary, applicants and owners",T3 Suburban Neighborhood Maintenance (T3 NM),"[""013""]",2855,Sammy Said and Marian Fangary,33,Staff recommends approval,2021Z-072PR-001,12.8,74,7,"south side of Anderson Road, west of Wilford Park Drive","[""3163 Anderson Road"",""3165 Anderson Road"",""Hamilton Lane""]"
Donelson-Hermitage-Old Hickory Community Plan,The proposal involves amending the community plan policies for properties near Swinging Bridge Road and Hickerson Street.,Hagar,Defer,Shepherd,"[""T3 NM""]","[""T3 NM""]","[""D IN"",""CS""]","[""044-01""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/191114sr.pdf_item_5.pdf,minor plan amendment,4,Donelson-Hermitage-Old Hickory Community Plan Amendment_2019-11-14,2019-11-14,"CESP, Inc.",District Industrial (D IN) to T3 Suburban Neighborhood Maintenance (T3 NM),"[""013""]",1613,"CESP, Inc., applicant; Charron & Williams, LLC, owner",11,"Staff recommends deferral to the December 12, 2019, Planning Commission meeting at the request of the applicant.",Donelson-Hermitage-Old Hickory Community Plan Amendment,9.97,,,Southern corner of Swinging Bridge Road and Hickerson Street,"[""Swinging Bridge Road"",""Hickerson Street""]"
,A request to cancel a portion of an existing Planned Unit Development Overlay District (PUD).,VanReece,Defer,Masters,"[""RS10""]",,"[""PUD""]","[""2022Z-078PR-001""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220825sr.pdf_item_6.pdf,major plan amendment,3,Arrowhead (Cancelation)_2022-08-25,2022-08-25,Fulmer Lucas Engineering,,,2784,"Fulmer Lucas Engineering, applicant; O.I.C. Arrowhead, owner.",8,"Staff recommends deferral to the September 8, 2022, Planning Commission meeting.",Arrowhead (Cancelation),10.08,0,,"approximately 40 feet east of Walton Lane (10.08 acres), zoned Single-Family Residential","[""300 B Village Lane"",""Walton Lane""]"
East Nashville Community Plan,The proposed zoning change is to allow for increased housing density consistent with the community plan.,Davis,Approve,Buggs,"[""R6-A""]","[""T4 NE""]","[""RS5""]","[""155""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180614sr.pdf_item_9.pdf,zone change,5,1702 Meridian Street Rezoning_2018-06-14,2018-06-14,"Land Development Solutions, GP, owner",T4 Urban Neighborhood Evolving (T4 NE),"[""090""]",770,Land Development Solutions,5,Staff recommends approval as the request is consistent with the T4 Urban Neighborhood Evolving policy in this location.,1702 Meridian Street Rezoning,0.34,4,2,"The property is located on the western side of Meridian Street, approximately 30 feet northwest of Edith Avenue (0.34 acres).","[""1702 Meridian Street""]"
Not Specified,"Rezone from RS7.5, RM20-A-NS, and CL to MUG-A for mixed-use development.",Toombs,Defer,Gentry,"[""MUG-A""]",,"[""RS7.5"",""RM20-A-NS"",""CL""]","[""059""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/102623StaffReport.pdf_item_12.pdf,zone change,1,Not Specified_2023-10-26,2023-10-26,"Dale & Associates, applicant; JMJ Enterprises Inc, owner",Not Specified,"[""174""]",471,Dale & Associates,2,Staff recommends indefinite deferral.,Not Specified,2.35,,,"130 feet west of the intersection of Monticello Drive and W. Trinity Lane, partially located in the Corridor Design Overlay District (2.35 acres)","[""405 W. Trinity Lane"",""Monticello Drive""]"
,The applicant requests to rezone from R6 to SP to permit a multi-family residential development.,Taylor,Defer,Buggs,"[""SP""]",,"[""R6""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/082423Staffreport.pdf_item_1.pdf,preliminary sp,5,Riverside at MetroCenter SP_2023-08-24,2023-08-24,Catalyst Design Group,,,360,"Catalyst Design Group, applicant; Sanjay Patel, owner",21,"Staff recommends deferral to the September 28, 2023, Planning Commission meeting.",Riverside at MetroCenter SP,12.99,590,,"approximately 600 feet northwest of Rosa L. Parks Boulevard, 12.99 acres","[""Clarksville Pike"",""Rosa L. Parks Boulevard""]"
Bellevue Community Plan,Proposal to rezone from Commercial Limited (CL) to Specific Plan-Commercial (SP-C) for a microbrewery and associated uses.,Weiner,Conditional,Fogge,"[""SP-C""]","[""T3 CM""]","[""CL""]","[""114-00""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180111sr.pdf_item_22.pdf,preliminary SP,9,Tailgate Brewery SP_2018-01-11,2018-01-11,Waller Lansden,T3 Suburban Mixed Use Corridor,"[""137""]",554,"Waller Lansden, applicant; Wesley Keegan, owner",22,Approve with conditions and disapprove without all conditions.,Tailgate Brewery SP,7.35,,,"Located at 7300 Charlotte Pike, approximately 1000 feet east of Old Hickory Boulevard, to permit all uses within the Commercial Limited (CL) zone district and a microbrewery (7.35 acres)","[""7300 Charlotte Pike""]"
,A request to rezone property at 3049 Earhart Road from RS15 to SP to permit an office/warehouse and billboards.,Glover,Defer,Shepherd,"[""SP""]",,"[""RS15""]","[""077""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/181213sr.pdf_item_10.pdf,zone change,4,3049 Earhart SP_2018-12-13,2018-12-13,Dale and Associates,,"[""022""]",1007,"Dale and Associates, applicant; Chris Pardue, owner",12,"Staff recommends deferral to the January 10, 2019, Planning Commission meeting at the request of the applicant.",3049 Earhart SP,5.5,,,"Approximately 620 feet north of Rising Fawn Trail, 5.5 acres","[""3049 Earhart Road""]"
East Nashville Community Plan,The application proposes a zone change from RS5 to SP-MR on 0.33 acres at 927 Douglas Ave.,Davis,Approve,Buggs,"[""SP-MR""]","[""T4 NE""]","[""RS5""]","[""071-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190718sr.pdf_item_3.pdf,zone change,5,Second Substitute Bill BL2018-1413_2019-07-18,2019-07-18,Councilmember Scott Davis,T4 Urban Neighborhood Evolving (T4 NE),"[""102"",""103"",""105"",""106"",""107"",""108""]",1488,"Councilmember Scott Davis; Kimberly Smith-Tucker, owner",5,Staff recommends approval of the second substitute.,Second Substitute Bill BL2018-1413,0.33,7,2,"927 Douglas Avenue, approximately 285 feet east of Emmett Avenue","[""927 Douglas Avenue"",""Emmett Avenue""]"
GREEN HILLS-MIDTOWN COMMUNITY PLAN,Proposes an increase in the maximum number of residential units from 600 to 850.,Taylor,Conditional,Buggs,"[""SP-MU""]","[""T5 MU""]","[""SP-MU""]","[""093-11""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/201008sr.pdf_item_15.pdf,SP Amendment,5,ONE C1TY (Amendment #3)_2020-10-08,2020-10-08,"Civil Site Design Group, applicant; Cambridge Nashville Medical Center LP, Nascham LP, NF IV-VA Nashville LLC, Shay/LB-WC-LC LLC",T5 Urban Mixed-Use Neighborhood (T5 MU),"[""159"",""160"",""161""]",2118,Civil Site Design Group,21,Staff recommends approval with conditions and disapproval without all conditions.,ONE C1TY (Amendment #3),18.93,850,600,"southwest corner of 1 City Avenue, City Boulevard, and 28th Avenue North, 18.93 acres","[""1 City Avenue"",""4 City Boulevard"",""5 City Boulevard"",""6 City Boulevard"",""7 City Place"",""8 City Boulevard""]"
Green Hills-Midtown Community Plan,"Proposes to change the policy and subdistrict designation for five properties along 12th Avenue South from T4 RC to T4 NC policy, with minimal changes to the 12th Avenue South Corridor Detailed Neighborhood Design Plan.",Sledge,Approve,Pupo Walker,"[""T4 NC""]","[""T4 RC"",""T4 NC""]","[""R8""]","[""105-13""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-21111821sr.pdf_item_19.pdf,major plan amendment,8,Green Hills-Midtown Community Plan Amendment_2021-11-18,2021-11-18,Barge Cauthen & Associates,Urban Residential Corridor (T4 RC) policy to T4 Urban Neighborhood Center (T4 NC) policy,"[""198"",""200"",""201"",""202"",""203"",""420""]",2369,"Barge Cauthen & Associates, applicant; Tabernacle Missionary Baptist Church, owner",5,Approve policy change along with minor changes to the 12th Avenue South Corridor Detailed Neighborhood Design Plan.,Green Hills-Midtown Community Plan Amendment,1.56,,,"approximately 80 feet south of Lawrence Avenue, zoned One and Two-Family Residential (R8) (1.56 acres)","[""2206 12th Avenue South"",""2208 12th Avenue South"",""2212 12th Avenue South"",""2214 12th Avenue South"",""2218 12th Avenue South""]"
North Nashville Community Plan,"The plan proposes a mixed-use development to include residential, retail, office, and hotel uses, adapting existing warehouse space and enhancing pedestrian connectivity.",O'Connell,Conditional,Gentry,"[""SP-MU""]","[""T4 MU""]","[""SP-MU""]","[""2016SP-055-002""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200827sr.pdf_item_37.pdf,sp amendment,1,1324 2nd Avenue North_2020-08-27,2020-08-27,Smith Gee Studio; Neuhoff Acquisition LLC,T4 Urban Mixed Use Neighborhood,"[""002""]",2044,Smith Gee Studio,19,Approve with conditions and disapprove without all conditions.,1324 2nd Avenue North,4.82,280,,"1324 2nd Avenue North, at the southeast corner of 2nd Avenue North and Taylor Street, 4.82 acres","[""1324 2nd Avenue North"",""Taylor Street""]"
,"Revise PUD and final site plan to permit a 1,438 square foot oil change center.",Styles,Conditional,Bush,"[""PUD""]","[""PUD""]","[""R8"",""CDO""]","[""158-77P""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200423sr.pdf_item_26.pdf,preliminary sp,6,Hickory Hollow Retail Commercial PUD_2020-04-23,2020-04-23,"Development Management Group, applicant; The Corner, LLC, owner",Planned Unit Development Overlay District (PUD),"[""006""]",1832,"Development Management Group, applicant; The Corner, LLC, owner",32,Approve with conditions.,Hickory Hollow Retail Commercial PUD,5.87,41,,Northeast corner of Bell Road and Mt. View Road,"[""771 Bell Road"",""Mt. View Road""]"
,Amend subdivision plat to amend the platted setbacks at 715 Ries Avenue.,Roberts,Defer,Frogge,,,"[""R8""]","[""070-05""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190328sr.pdf_item_9.pdf,SP Amendment,9,Mosswood Lot 57 Subdivision Amendment_2019-03-28,2019-03-28,Dale & Associates,,"[""036""]",1245,"Dale & Associates, applicant; Edward Michaels, IV, owner",20,"Staff recommends deferral to the April 11, 2019, Planning Commission meeting at the request of the applicant.",Mosswood Lot 57 Subdivision Amendment,0.21,,,"southwest corner of Laredo Avenue and Ries Avenue, zoned One and Two-Family Residential (R8) (0.21 acres)","[""715 Ries Avenue"",""Laredo Avenue"",""Ries Avenue""]"
,Request to rezone from One and Two-Family Residential (R8) to Specific Plan-Residential (SP-R) for multi-family residential development.,Hastings,Defer,Gentry,"[""SP-R""]",,"[""R8""]","[""175""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180308sr.pdf_item_3.pdf,Preliminary SP,1,City View Estates SP_2018-03-08,2018-03-08,"Civil Design Consultants, LLC",,"[""102"",""076""]",641,"Civil Design Consultants, LLC, applicant; Progressive Development, LLC, owner",2,"Staff recommends deferral to the April 26, 2018, Planning Commission meeting as requested by the applicant.",City View Estates SP,1.3,16,,"926 West Trinity Lane, approximately 440 feet east of the intersection of West Trinity Lane and Old Buena Vista Road/Youngs Lane (1.30 acres)","[""926 West Trinity Lane"",""West Trinity Lane"",""Old Buena Vista Road"",""Youngs Lane""]"
,"Request to rezone from SP-C to MUL, deferred to February 14, 2019, Planning Commission meeting.",Syracuse,Defer,Shepherd,"[""MUL""]",,"[""SP-C""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190124sr.pdf_item_16.pdf,zone change,4,Zone Change 2018Z-129PR-001_2019-01-24,2019-01-24,"Goodwyn, Mills, and Cawood Inc.",,,1099,"Goodwyn, Mills, and Cawood Inc.",15,"Defer to the February 14, 2019, Planning Commission meeting at the request of the applicant.",Zone Change 2018Z-129PR-001,1.77,,,"1510 Lebanon Pike, approximately 150 feet east of Spence Lane (1.77 acres)","[""1510 Lebanon Pike""]"
Unknown,The application proposes rezoning from CS and RS5 to MUL-A for properties at Buchanan Street and 9th Avenue North.,Kindall,Defer,Sharon D Gentry,"[""MUL-A""]",,"[""CS"",""RS5""]","[""091""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190912sr.pdf_item_14.pdf,zone change,1,R-MANUEL CENTENNIAL SP (AMENDMENT)_2019-09-12,2019-09-12,"Fulmer Engineering, LLC",Unknown,"[""062"",""063""]",1527,"Fulmer Engineering, LLC; various owners.",21,"Staff recommends deferral to the September 26, 2019, Planning Commission meeting at the request of the applicant.",R-MANUEL CENTENNIAL SP (AMENDMENT),1.98,,,"properties located at 901, 903, 905, 909, and 911 Buchanan Street and 1701, 1703, 1705, 1707, 1709, and 1711 9th Avenue North, at the corner of Buchanan Street and 10th Avenue North (1.98 acres).","[""901 Buchanan Street"",""903 Buchanan Street"",""905 Buchanan Street"",""909 Buchanan Street"",""911 Buchanan Street"",""1701 9th Avenue North"",""1703 9th Avenue North"",""1705 9th Avenue North"",""1707 9th Avenue North"",""1709 9th Avenue North"",""1711 9th Avenue North"",""10th Avenue North""]"
East Nashville Community Plan,Request to cancel a portion of a PUD for properties along Dickerson Pike and Meridian Street.,Parker,Conditional,Buggs,"[""PUD""]","[""T4 CM"",""T4 NE""]","[""RM20""]","[""086-05""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220224sr.pdf_item_13.pdf,preliminary sp,5,Sam Levy Homes PUD (Cancellation)_2022-02-24,2022-02-24,Hastings Architecture,"T4 Urban Mixed Use Corridor (T4 CM), T4 Urban Neighborhood Evolving (T4 NE)","[""048"",""049"",""050""]",2536,"Hastings Architecture, applicant; Riverchase Holdings, LP, owner",5,Approve if the associated SP is approved and disapprove if the associated SP is not approved.,Sam Levy Homes PUD (Cancellation),14.52,290,,"northeast corner of Dickerson Pike and Meridian Street, 14.52 acres","[""301 North 2nd Street"",""651 Joseph Avenue"",""660 Joseph Avenue""]"
,"Request for final plat approval to create one lot on Cub Creek Road, 2.43 acres, zoned AR2a.",Rosenberg,Defer,Frogge,"[""AR2a""]",,"[""AR2a""]","[""182""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190124sr.pdf_item_6.pdf,final plat,9,Snyder 1-Lot Subdivision_2019-01-24,2019-01-24,"Southern Precision Land Surveying, Inc., applicant; Janie and Hillman Snyder, owners",,"[""182""]",1118,"Southern Precision Land Surveying, Inc., applicant; Janie and Hillman Snyder, owners",35,"Defer to the February 28, 2019, Planning Commission meeting.",Snyder 1-Lot Subdivision,2.43,1,0,"Approximately 5,350 feet southwest of River Road Pike, zoned Agricultural/Residential (AR2a) (2.43 acres).","[""8517 Cub Creek Road""]"
Southeast Community Plan,Proposal for 121 multi-family residential units with specific plan zoning.,Sepulveda,Conditional,Elrod,"[""SP-MR""]","[""T3 NE""]","[""R6""]","[""105-06""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200116sr.pdf_item_10.pdf,preliminary sp,2,Maxwell Station_2020-01-16,2020-01-16,Clint Elliott Survey,T3 Suburban Neighborhood Evolving (T3 NE),"[""250"",""257"",""342""]",1653,"Clint Elliott Survey, Insight Property Solutions, LLC",30,Approve with conditions and disapprove without all conditions.,Maxwell Station,6.06,121,54,"northwest corner of Goins Road and Taylor Road; east of Nolensville Pike, south of Flora Maxwell Road.","[""4306 Goins Road""]"
South Nashville Community Plan,"Proposal to rezone from SP-R to R6-A, allowing for single-family dwellings and duplexes on the site.",Sledge,Approve,Buggs,"[""R6-A""]","[""T4 NE""]","[""SP-R""]","[""051-04""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180125sr.pdf_item_18.pdf,zone change,5,Zone Change 2018Z-006PR-001_2018-01-25,2018-01-25,Councilmember Colby Sledge,T4 Urban Neighborhood Evolving (T4 NE),"[""065""]",588,"Councilmember Colby Sledge, applicant; Harvest Hands Community Development Corporation, owner",17,Staff recommends approval. The proposed rezoning is consistent with the T4 Urban Neighborhood Evolving policy at this location.,Zone Change 2018Z-006PR-001,0.54,6,10,"Approximately 100 feet west of Lincoln Street, 0.54 acres","[""20 N. Hill Street"",""22 N. Hill Street"",""24 N. Hill Street""]"
